ID,Last Updated,Current Ver,Android Ver,Installs,Size
1,2018-01-07,1.0.0,4.0.3 ,10000,19
2,2018-01-15,2.0.0,4.0.3 ,500000,14
3,2018-08-01,1.2.4,4.0.3 ,5000000,8.7
4,2018-06-08,Varies with device,4.2,50000000,25
5,2018-06-20,1.1,4.4,100000,2.8
6,2017-03-26,1,2.3,50000,5.6
7,2018-04-26,1.1,4.0.3 ,50000,19
8,2018-06-14,6.1.61.1,4.2,1000000,29
9,2017-09-20,2.9.2,3,1000000,33
10,2018-07-03,2.8,4.0.3 ,10000,3.1
11,2017-10-27,1.0.4,4.1,1000000,28
12,2018-07-31,1.0.15,4,1000000,12
13,2018-04-02,3.8,4.1,10000000,20
14,2018-06-26,1.0.4,4.4,100000,21
15,2018-08-03,1.2.3,2.3,100000,37
16,2018-06-06,NaN,4.2,5000,2.7
17,2018-07-31,3.1,4.1,500000,5.5
18,2017-11-07,1,2.3,10000,17
19,2018-08-03,2.2.5,4.0.3 ,5000000,39
20,2018-07-30,5.5.4,4.1,10000000,31
21,2018-04-20,4,4.1,100000,14
22,2018-03-20,1.1,4.0.3 ,100000,12
23,2018-07-12,2.2.6.2,4.0.3 ,500000,4.2
24,2018-03-07,1.0.0,4.1,100000,7
25,2018-07-07,1.1.3,4.1,50000,23
26,2018-04-25,1.5,3,10000,6
27,2017-10-11,1.0.8,4.0.3 ,500000,25
28,2018-03-21,1.03,4.0.3 ,100000,6.1
29,2018-07-12,6,2.3,10000,4.6
30,2017-08-22,1,2.3,100000,4.2
31,2018-07-12,6.7.12.2018,4.0.3 ,100000,9.2
32,2018-05-31,1.2,2.3,50000,5.2
33,2018-07-19,2.2,4,100000,11
34,2018-01-06,1.1.0,4.1,100000,11
35,2018-04-27,1.6,4.1,10000,4.2
36,2018-07-11,2.1,4.1,100000,9.2
37,2018-08-02,1.0.9,4.4,500000,24
38,2018-07-14,Varies with device,2.3.3 ,5000000,Varies with device
39,2017-11-29,1.3,4.0.3 ,10000,11
40,2018-03-31,1,4,500000,9.4
41,2018-07-20,2.0.1,4.0.3 ,10000,15
42,2018-04-02,1,4.0.3 ,100000,10
43,2018-07-30,Varies with device,Varies with device,10000000,Varies with device
44,2018-04-15,1.46,4.1,100000,1.2
45,2018-01-03,1.0.0,4.1,10000,12
46,2018-07-31,1.6.1,4.1,10000000,24
47,2017-11-14,1.6,4.1,100000,26
48,2017-12-17,2.0.0,4.1,100000,8
49,2018-05-28,1,2.3,100000,7.9
50,2018-05-10,1,4.0.3 ,100000,25
51,2018-07-26,11,4.1,1000000,56
52,2018-07-26,3,4.1,100000,57
53,2018-07-30,Varies with device,Varies with device,1000000,Varies with device
54,2018-07-26,3,4.1,100000,35
55,2018-07-31,4,4.1,100000,33
56,2018-07-18,1.7.1,4,100000,33
57,2018-07-29,2.5.1,4.4,50000,5.6
58,2018-07-26,3,4.1,100000,54
59,2014-08-26,1.0.1,2.2,100000,201k
60,2018-07-30,2.493,4.4,100000,3.6
61,2018-07-08,1.9.1,4.0.3 ,10000,5.7
62,2018-07-03,1.7,4.2,100000,17
63,2018-07-28,2.20 Build 02,4.1,1000000,8.6
64,2018-06-12,1.37,4,100000,2.4
65,2018-07-03,1.7,4.2,100000,27
66,2018-07-30,0.2.1,4.4,10000,2.7
67,2016-10-14,1,2.3,50000,2.5
68,2018-07-30,Varies with device,Varies with device,5000000,Varies with device
69,2018-05-25,Varies with device,Varies with device,100000,Varies with device
70,2018-07-16,4.47.3,4.0.3 ,5000000,7
71,2018-08-02,1.9.7,4.0.3 ,5000000,35
72,2018-08-02,2.2.21,4.2,500000,16
73,2018-07-11,Varies with device,5,10000000,16
74,2018-07-29,2.9,2.3.3 ,100000,Varies with device
75,2018-07-27,1.79,4,500000,17
76,2018-06-14,1.3,4,50000,3.4
77,2018-06-08,2.3.5.1,4.1,100000,8.9
78,2018-07-04,1.6,4,1000000,3.9
79,2018-03-27,1.6,4.1,100000,2.9
80,2018-07-15,8.31,4.1,1000000,38
81,2018-07-24,1.1.5.0,6,50000,32
82,2018-07-27,10.0.2,4.2,1000000,37
83,2018-07-30,1.10.3,5,500000,15
84,2018-07-23,1,4.0.3 ,100000,5.4
85,2018-07-23,3.20.1,4.4,1000000,18
86,2018-08-04,Varies with device,Varies with device,1000000,Varies with device
87,2018-07-29,1.0.3,2.3,100000,38
88,2018-04-27,1.4,4.0.3 ,100000,1.1
89,2018-08-03,Varies with device,Varies with device,1000000,Varies with device
90,2018-05-10,4.6.5,Varies with device,100000,Varies with device
91,2018-05-16,2.8.2,4.1,100000,7.9
92,2018-07-31,4.0.3,4.0.3 ,1000000,35
93,2018-08-02,Varies with device,4.0.3 ,1000000,Varies with device
94,2018-08-02,1.4,4.0.3 ,1000000,17
95,2018-07-23,1.5.18,4.0.3 ,1000000,19
96,2018-06-02,2.3.4,4,500000,14
97,2018-03-20,1.03,4.0.3 ,500000,2.2
98,2018-04-21,2.17,4,100000,4.5
99,2018-08-02,6.10.1,5,500000,17
100,2017-11-09,2.3.0,4.1,1000000,14
101,2018-05-15,4,4.1,100000,9.8
102,2018-07-12,1.0.6,4.0.3 ,500000,21
103,2016-10-24,Varies with device,Varies with device,1000000,Varies with device
104,2018-02-28,1.6,4.1,500000,52
105,2018-07-25,1.9,4.0.3 ,100000,14
106,2018-05-10,1.1.0,4,1000000,25
107,2018-06-21,4,4.2,50000,9
108,2018-06-05,5.4,5,1000000,Varies with device
109,2018-06-26,1.3,4.0.3 ,10000,12
110,2017-09-12,Varies with device,Varies with device,1000000,Varies with device
111,2018-06-02,2.0.0,4,100000,35
112,2018-07-26,6,4,10000,6.7
113,2018-07-24,3.0.1,4.0.3 ,50000,30
114,2017-09-20,8,3,100000,5.7
115,2018-04-09,3.3.9,4.0.3 ,10000,2.9
116,2018-03-01,1.2,4.0.3 ,10000,17
117,2018-04-05,2.3.09,4.0.3 ,10000,2.9
118,2017-08-03,Varies with device,Varies with device,10000000,Varies with device
119,2018-05-24,Varies with device,4,500000,Varies with device
120,2017-11-21,1.4.2,4,1000000,2.6
121,2017-10-18,1.0.0,4.0.3 ,50000,4.2
122,2018-05-29,1,4,10000,7.1
123,2018-07-24,18.5,5,1000000,57
124,2018-07-23,1.3,4.1,50000,3.7
125,2018-07-12,1.1.0,4.0.3 ,500000,22
126,2018-05-14,1.1.0,4,500000,24
127,2018-07-17,1.15,4.1,100000,7.4
128,2018-07-02,1.5,4.1,10000,21
129,2018-06-07,1,4,5000,3.4
130,2017-08-08,2,2.3,10000,2.9
131,2017-12-11,2,3,10000,3.1
132,2018-05-24,1.1,4.0.3 ,100000,6.4
133,2018-06-01,1.2.13,4.0.3 ,5000,3.2
134,2017-03-01,1.0.2.0,1.6,100000,8.2
135,2018-01-24,3,3,10000,9.9
136,2018-04-05,3.1.89,4.0.3 ,10000,2.9
137,2018-07-30,2.2.0,4,1000000,23
138,2017-08-07,1,4.0.3 ,50000,4.6
139,2018-05-28,1.9.2,4.0.3 ,10000,3.1
140,2018-08-01,Varies with device,Varies with device,100000000,Varies with device
141,2018-08-03,1.3.2,4.4,50000,4.9
142,2017-07-31,1.1,4,100000,9.5
143,2018-08-02,Varies with device,Varies with device,10000000,Varies with device
144,2018-07-27,Varies with device,Varies with device,100000000,Varies with device
145,2015-07-17,Varies with device,1.5,10000000,Varies with device
146,2018-05-18,Varies with device,Varies with device,10000000,Varies with device
147,2018-04-25,Varies with device,Varies with device,10000000,Varies with device
148,2018-03-27,2.1,4.1,100000,4.2
149,2018-06-06,3.2.1,4,1000000,5.4
150,2018-06-28,Varies with device,Varies with device,10000000,Varies with device
151,2018-01-21,1,4,500000,2.8
152,2018-08-01,2.0.075,4.0.3 ,1000000,5
153,2018-08-03,Varies with device,Varies with device,1000000000,Varies with device
154,2018-05-27,1.91180527,2.3,5000000,5.9
155,2018-07-17,1,4.0.3 ,100000,13
156,2018-07-11,9.1.363,4.1,10000000,7.1
157,2018-08-04,1.1.6,4.0.3 ,500000,6.7
158,2018-05-28,Varies with device,Varies with device,10000000,Varies with device
159,2018-07-20,2.3.18,4.1,1000000,17
160,2018-04-27,2.2.5,4.1,1000000,19
161,2018-05-17,15,2.3,500000,6.7
162,2018-06-02,18.05.31530,4.1,1000000,21
163,2018-04-25,Varies with device,Varies with device,500000,Varies with device
164,2018-07-13,1,2.3,10000,2.7
165,2018-06-25,5.0.6,4,5000000,37
166,2018-07-04,1.2.3,4,100000,15
167,2018-06-29,3.12,4.1,5000000,23
168,2017-11-23,2,4.0.3 ,500000,19
169,2018-06-20,1.28,3,1000000,23
170,2018-08-01,6.0.8,4.0.3 ,500000,73
171,2014-10-16,1.0.3,2.1,500000,4.9
172,2018-07-11,1.9,4.4,1000000,6.8
173,2018-07-31,Varies with device,Varies with device,5000000,Varies with device
174,2017-08-28,9.00.950462,7,10000000,Varies with device
175,2018-03-31,14,4,100000,2.9
176,2018-05-28,6,4.0.3 ,100000,3.5
177,2016-08-20,3.05,4.0.3 ,100000,4
178,2018-07-17,2,3,50000,21
179,2018-06-16,1.5,3,500000,2.3
180,2018-05-01,Varies with device,Varies with device,10000000,Varies with device
181,2018-06-15,3,6,50000,7.2
182,2018-07-28,2.5.3,4,1000000,10
183,2018-07-19,7.0.4.6,4.2,1000000,6.1
184,2018-07-29,1.15,4.0.3 ,1000000,2.1
185,2018-02-15,3.1.7.9,2.2,500000,42
186,2015-08-07,1.1,5.1,100000,7.3
187,2018-03-20,3.9.1,4.2,10000000,30
188,2018-07-30,Varies with device,Varies with device,10000000,Varies with device
189,2018-05-21,Varies with device,Varies with device,50000000,Varies with device
190,2018-08-03,Varies with device,Varies with device,10000000,Varies with device
191,2018-07-17,3.4.2,5,5000000,29
192,2018-05-04,Varies with device,Varies with device,1000000,Varies with device
193,2018-04-02,Varies with device,Varies with device,50000000,Varies with device
194,2018-07-24,2.19.0.204537701,4.4,5000000,Varies with device
195,2018-08-02,9.7.14188,4.1,100000000,35
196,2018-06-14,4.9.10,4.0.3 ,1000000,9.1
197,2018-07-19,5.2.8,5,1000000,25
198,2018-07-08,3.3,4.1,500000,3.9
199,2018-06-26,3.550.2,4.1,10000000,18
200,2018-07-31,4.6.30,4.0.3 ,5000000,12
201,2016-04-13,2.8,1.5,1000000,21
202,2018-08-02,Varies with device,Varies with device,50000000,Varies with device
203,2018-07-09,Varies with device,Varies with device,10000000,Varies with device
204,2018-07-17,Varies with device,4.3,1000000,Varies with device
205,2018-07-31,Varies with device,Varies with device,10000000,Varies with device
206,2018-02-08,7.3.21,4.1,5000000,55
207,2018-06-21,1.1.13,4,5000000,3.2
208,2018-07-26,Varies with device,Varies with device,5000000,Varies with device
209,2018-07-30,Varies with device,Varies with device,5000000,Varies with device
210,2015-09-11,3.0.1.11 (Build 311),2.2,100000,23k
211,2018-07-18,5.1.5,4.1,1000000,16
212,2018-07-30,Varies with device,Varies with device,1000000,Varies with device
213,2018-07-10,2.3.6,4.1,1000000,14
214,2018-07-20,4.1.28165.0716,4,10000000,37
215,2018-06-08,Varies with device,Varies with device,5000000,Varies with device
216,2018-08-01,99.0.0.35.75,4.1,1000000,Varies with device
217,2018-08-02,12.2.4,4,5000000,11
218,2018-08-01,1.0.6.8,4.1,100000,25
219,2018-07-04,3.4.5,4.2,10000000,7.3
220,2018-08-01,2.5.6,4,1000000,6.5
221,2018-07-27,1.12.5,4,1000000,25
222,2018-06-08,1.5,4.0.3 ,100000,3.1
223,2018-02-26,Varies with device,4.0.3 ,5000000,Varies with device
224,2018-03-26,4.9,2.2,1000000,1.5
225,2018-07-24,0.9.4,4.0.3 ,100000,7.5
226,2018-01-31,1.1.07.6,7,50000000,8.6
227,2018-06-25,Varies with device,Varies with device,5000000,Varies with device
228,2018-04-09,1.0.5,6,100000,1.2
229,2018-07-25,Varies with device,Varies with device,1000000,Varies with device
230,2018-02-26,Varies with device,4.0.3 ,5000000,Varies with device
231,2018-07-11,Varies with device,Varies with device,1000000,Varies with device
232,2017-05-30,1.2.6,3,10000000,39
233,2018-07-11,3.9.2,4.1,10000000,14
234,2018-08-02,3.4.49,4.1,1000000,19
235,2018-03-25,1.5.2,4,100000,6.8
236,2017-04-11,3.4.6,3,100000,39
237,2018-07-31,Varies with device,Varies with device,10000000,Varies with device
238,2018-06-15,3.2.1,4.1,50000,14
239,2018-07-30,1.12.0,4.0.3 ,5000000,20
240,2018-07-24,2.19.0.204537701,4.4,5000000,Varies with device
241,2018-08-02,Varies with device,Varies with device,5000000,Varies with device
242,2018-04-18,1.7.14,4.2,100000,26
243,2018-07-12,3.24.1,5,100000,51
244,2018-07-13,18.7,4.1,1000000,41
245,2018-07-03,3.19.005,4.1,500000,20
246,2018-07-30,Varies with device,Varies with device,100000,Varies with device
247,2018-07-25,4.9.1,5,500000,12
248,2018-07-20,6.1.2,4.0.3 ,500000,48
249,2018-07-26,6.4.4,5,1000000,10
250,2018-02-13,3.7.5,4.4,1000000,22
251,2018-07-31,2.6.158,4,1000000,11
252,2018-08-02,5.20.7,4.1,100000,8.5
253,2018-08-02,5.20.7,4.1,100000,8.6
254,2018-07-16,4.3.0.508,4.4,1000000,Varies with device
255,2018-08-01,10.46.2,4.1,1000000,28
256,2018-07-20,11.1.0,4.3,10000000,28
257,2018-07-20,4.1.28165.0716,4,10000000,37
258,2018-03-22,1.2.287,5,100000,9
259,2018-08-02,3.0.4651,4.4,100000,46
260,2018-07-11,Varies with device,Varies with device,5000000,Varies with device
261,2018-05-29,3.1.4.0,4.0.3 ,50000,14
262,2018-07-16,4.3.0.508,4.4,1000000,Varies with device
263,2018-07-30,3.3.0,4,1000000,26
264,2018-06-29,2.22.397,5,500000,23
265,2018-08-02,Varies with device,Varies with device,10000000,Varies with device
266,2018-07-31,Varies with device,Varies with device,10000000,Varies with device
267,2018-06-15,3.2.1,4.1,50000,14
268,2018-07-30,1.12.0,4.0.3 ,5000000,20
269,2018-07-24,2.19.0.204537701,4.4,5000000,Varies with device
270,2018-08-02,Varies with device,Varies with device,5000000,Varies with device
271,2018-04-18,1.7.14,4.2,100000,26
272,2018-07-12,3.24.1,5,100000,51
273,2018-07-13,18.7,4.1,1000000,41
274,2018-07-03,3.19.005,4.1,500000,20
